ORDER_DATE,SHIP_VIA_TYPE,PRODUCT,PRODUCT_DESCRIPTION,QUANTITY,TOTAL_SALES,HUB,BRAND,PROD_CAT
2023-01-25,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-25,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,19.58,2.0,SH,CAT_8
2023-01-26,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-26,WILL CALL,PRODUCT_10,CAT_8_DES,6.0,43.38,2.0,SH,CAT_8
2023-01-26,WILL CALL,PRODUCT_1,CAT_1_DES,40.0,987.6,2.0,SH,CAT_1
2023-01-27,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,61.24,2.0,SH,CAT_1
2023-01-26,UPS GROUND,PRODUCT_2,CAT_2_DES,3.0,99.42,2.0,SH,CAT_2
2023-01-24,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-25,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,134.36,2.0,SH,CAT_1
2023-01-27,UPS GROUND,PRODUCT_10,CAT_8_DES,1.0,9.79,2.0,SH,CAT_8
2023-01-27,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,33.14,2.0,SH,CAT_2
2023-01-19,WILL CALL,PRODUCT_3,CAT_1_DES,1.0,30.62,2.0,SH,CAT_1
2023-01-27,UPS GROUND,PRODUCT_2,CAT_2_DES,4.0,145.12,2.0,SH,CAT_2
2023-01-27,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-27,UPS GROUND,PRODUCT_2,CAT_2_DES,1.0,63.99,2.0,SH,CAT_2
2023-01-27,UPS GROUND,PRODUCT_8,CAT_6_DES,2.0,36.58,2.0,SH,CAT_6
2023-01-24,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-25,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
